event-id,visible,timestamp,location-long,location-lat,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
29821769130,true,2016-06-17 12:00:00.000,34.630647,127.793483,"radio-transmitter","Caretta caretta","162391","KOR0001","Marine bioresource conservation and restoration research"
29821769131,true,2016-06-19 05:16:00.000,34.60602,127.83179,"radio-transmitter","Caretta caretta","162391","KOR0001","Marine bioresource conservation and restoration research"
29821769132,true,2016-06-20 05:02:00.000,34.59569,127.90781,"radio-transmitter","Caretta caretta","162391","KOR0001","Marine bioresource conservation and restoration research"
29821769133,true,2016-06-21 04:51:00.000,34.52764,127.83662,"radio-transmitter","Caretta caretta","162391","KOR0001","Marine bioresource conservation and restoration research"
29821769134,true,2016-06-22 04:41:00.000,34.49945,127.8263,"radio-transmitter","Caretta caretta","162391","KOR0001","Marine bioresource conservation and restoration research"
29821769135,true,2016-06-25 05:49:00.000,34.44941,127.85337,"radio-transmitter","Caretta caretta","162391","KOR0001","Marine bioresource conservation and restoration research"
29821769136,true,2016-06-26 05:38:00.000,34.3296,127.89016,"radio-transmitter","Caretta caretta","162391","KOR0001","Marine bioresource conservation and restoration research"
29821769137,true,2016-07-05 03:54:00.000,34.52688,127.88644,"radio-transmitter","Caretta caretta","162391","KOR0001","Marine bioresource conservation and restoration research"
29821769138,true,2016-07-06 03:42:00.000,34.57358,127.90326,"radio-transmitter","Caretta caretta","162391","KOR0001","Marine bioresource conservation and restoration research"
29821769139,true,2016-07-07 05:13:00.000,34.62573,127.87191,"radio-transmitter","Caretta caretta","162391","KOR0001","Marine bioresource conservation and restoration research"
29821769140,true,2016-07-08 04:59:00.000,34.55792,127.8404,"radio-transmitter","Caretta caretta","162391","KOR0001","Marine bioresource conservation and restoration research"
29821769141,true,2016-07-09 04:47:00.000,34.53583,127.85242,"radio-transmitter","Caretta caretta","162391","KOR0001","Marine bioresource conservation and restoration research"
29821769142,true,2016-07-10 04:35:00.000,34.56162,127.79045,"radio-transmitter","Caretta caretta","162391","KOR0001","Marine bioresource conservation and restoration research"
29821769143,true,2016-07-11 04:25:00.000,34.5576,127.77458,"radio-transmitter","Caretta caretta","162391","KOR0001","Marine bioresource conservation and restoration research"
29821769144,true,2016-07-12 04:13:00.000,34.55919,127.7799,"radio-transmitter","Caretta caretta","162391","KOR0001","Marine bioresource conservation and restoration research"
29821769145,true,2016-07-13 04:04:00.000,34.55051,127.65933,"radio-transmitter","Caretta caretta","162391","KOR0001","Marine bioresource conservation and restoration research"
29821769146,true,2016-07-14 05:34:00.000,34.53657,127.69137,"radio-transmitter","Caretta caretta","162391","KOR0001","Marine bioresource conservation and restoration research"
29821769147,true,2016-07-15 05:22:00.000,34.55089,127.72882,"radio-transmitter","Caretta caretta","162391","KOR0001","Marine bioresource conservation and restoration research"
29821769148,true,2016-07-16 05:11:00.000,34.55602,127.74124,"radio-transmitter","Caretta caretta","162391","KOR0001","Marine bioresource conservation and restoration research"
29821769149,true,2016-07-19 04:34:00.000,34.59754,127.67128,"radio-transmitter","Caretta caretta","162391","KOR0001","Marine bioresource conservation and restoration research"
29821769150,true,2016-07-23 05:30:00.000,34.61065,127.72312,"radio-transmitter","Caretta caretta","162391","KOR0001","Marine bioresource conservation and restoration research"
