event-id,visible,timestamp,location-long,location-lat,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
29821910371,true,2018-08-29 02:12:00.000,126.412755,33.244913,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910372,true,2018-08-30 22:39:00.000,126.73137,32.99904,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910373,true,2018-08-31 11:40:00.000,126.89665,33.10969,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910374,true,2018-09-01 23:46:00.000,127.34658,33.33694,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910375,true,2018-09-02 21:14:00.000,127.52052,33.5659,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910376,true,2018-09-03 06:56:00.000,127.55315,33.70038,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910377,true,2018-09-04 20:56:00.000,127.7727,34.05888,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910378,true,2018-09-05 23:08:00.000,127.7437,34.05894,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910379,true,2018-09-06 12:13:00.000,127.5824,33.96337,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910380,true,2018-09-07 06:06:00.000,127.77659,33.98884,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910381,true,2018-09-08 01:03:00.000,127.60345,33.98653,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910382,true,2018-09-09 01:38:00.000,127.72989,33.76707,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910383,true,2018-09-10 00:20:00.000,127.79349,33.61921,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910384,true,2018-09-11 01:37:00.000,127.70904,33.58151,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910385,true,2018-09-12 08:24:00.000,127.47979,33.82194,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910386,true,2018-09-13 08:02:00.000,127.58144,34.04569,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910387,true,2018-09-14 23:07:00.000,127.46775,34.26926,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910388,true,2018-09-15 21:13:00.000,127.36554,34.10456,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910389,true,2018-09-16 12:55:00.000,127.32855,33.92228,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910390,true,2018-09-17 07:37:00.000,127.2828,33.65793,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910391,true,2018-09-18 10:02:00.000,126.95519,33.39177,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910392,true,2018-09-19 13:31:00.000,126.8942,33.32485,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910393,true,2018-09-20 10:08:00.000,126.78936,33.21002,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910394,true,2018-09-21 08:32:00.000,126.68538,33.01111,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910395,true,2018-09-22 10:47:00.000,126.47659,32.74185,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910396,true,2018-09-23 09:11:00.000,126.33092,32.7571,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910397,true,2018-09-24 10:23:00.000,126.18198,32.90637,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910398,true,2018-09-25 11:56:00.000,126.06029,32.95712,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910399,true,2018-09-26 00:48:00.000,126.06182,32.99796,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910400,true,2018-09-27 08:49:00.000,125.8745,33.21439,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910401,true,2018-09-28 01:45:00.000,125.90957,33.27119,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910402,true,2018-09-29 01:24:00.000,125.8741,33.35052,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910403,true,2018-09-30 01:42:00.000,125.95141,33.40235,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910404,true,2018-10-01 01:01:00.000,126.03517,33.36194,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910405,true,2018-10-02 00:47:00.000,125.93285,33.40685,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910406,true,2018-10-03 00:47:00.000,125.72531,33.47039,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910407,true,2018-10-04 08:26:00.000,125.4561,33.29319,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910408,true,2018-10-05 01:07:00.000,125.06707,33.28499,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910409,true,2018-10-06 09:43:00.000,124.92476,32.74424,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910410,true,2018-10-08 00:40:00.000,124.45046,32.66284,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910411,true,2018-10-09 00:21:00.000,124.63389,32.40015,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910412,true,2018-10-10 01:38:00.000,124.72268,32.21854,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910413,true,2018-10-11 09:38:00.000,125.36715,32.15129,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
29821910414,true,2018-10-12 00:53:00.000,125.39,31.95525,"radio-transmitter","Caretta caretta","43594","KOR0091","Marine bioresource conservation and restoration research"
